country,location,year,population_size,source
Russia,Bashkortostan,2010,4072292,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Belgorod_Oblast,2010,1532526,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Bryansk_Oblast,2010,1278217,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Buryatia,2010,972021,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Chechnya,2010,1268989,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Chelyabinsk_Oblast,2010,3476217,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Chukotka,2010,50526,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Chuvashia,2010,1251619,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Dagestan,2010,2910249,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Ingushetia,2010,412529,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Irkutsk_Oblast,2010,2428750,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Ivanovo_Oblast,2010,1061651,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Jewish_Autonomous_Oblast,2010,176558,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Kabardino_Balkaria,2010,859939,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Kaliningrad_Oblast,2010,941873,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Kalmykia,2010,289481,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Kaluga_Oblast,2010,1010930,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Kamchatka_Krai,2010,322079,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htmhttps://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Karachay_Cherkessia,2010,477859,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Karelia,2010,643548,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Kemerovo_Oblast,2010,2763135,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Khabarovsk_Krai,2010,1343869,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
